WorkType,Variable,SetIndex,Run,ExecutionTime(s),UsedHeap(MB),nTerms,nUpdates,Probability,BestSize,Tasks,Reduced,OriginMin,OriginMax
1_nTasks,15,1,6,10844.048000,679.800000,1,100,0.000100,0.00000135000000000000,T9;T11,8;424,4;398,8;664
1_nTasks,15,1,7,10314.455000,1001.200000,1,100,0.001400,0.00000280000000000000,T9;T11,8;453,4;398,8;664
1_nTasks,15,1,8,10992.659000,629.900000,1,100,0.001100,0.00000265000000000000,T9;T11,8;450,4;398,8;664
1_nTasks,15,1,9,10960.474000,630.900000,1,100,0.002700,0.00000365000000000000,T9;T11,8;470,4;398,8;664
1_nTasks,15,1,10,10998.721000,637.500000,1,100,0.002000,0.00000295000000000000,T9;T11,8;456,4;398,8;664
1_nTasks,15,2,1,11584.633000,747.300000,2,100,0.001000,0.00000003000000000000,T8;T10,11;1,9;1,15;3
1_nTasks,15,2,2,11681.044000,710.400000,2,100,0.000400,0.00000001000000000000,T8;T10,9;1,9;1,15;3
1_nTasks,15,2,3,11202.599000,694.200000,2,100,0.002000,0.00000002000000000000,T8;T10,10;1,9;1,15;3
1_nTasks,15,2,4,11276.752000,739.500000,2,100,0.000700,0.00000003000000000000,T8;T10,11;1,9;1,15;3
1_nTasks,15,2,5,11207.514000,741.100000,2,100,0.000400,0.00000001000000000000,T8;T10,9;1,9;1,15;3
1_nTasks,15,2,6,11189.091000,763.000000,2,100,0.000300,0.00000001000000000000,T8;T10,9;1,9;1,15;3
1_nTasks,15,2,7,11224.330000,744.400000,2,100,0.000800,0.00000003000000000000,T8;T10,11;1,9;1,15;3
1_nTasks,15,2,8,11549.932000,718.500000,2,100,0.001200,0.00000002000000000000,T8;T10,10;1,9;1,15;3
1_nTasks,15,2,9,11467.213000,741.500000,2,100,0.000100,0.00000001000000000000,T8;T10,9;1,9;1,15;3
1_nTasks,15,2,10,11511.366000,763.100000,2,100,0.001100,0.00000003000000000000,T8;T10,11;1,9;1,15;3
1_nTasks,15,3,1,11174.191000,613.700000,2,100,0.000300,0.00000036000000000000,T1;T14,1;89,1;54,3;90
1_nTasks,15,3,2,11591.541000,639.600000,2,100,0.000900,0.00000001000000000000,T1;T14,1;54,1;54,3;90
1_nTasks,15,3,3,11112.696000,623.100000,2,100,0.000200,0.00000033000000000000,T1;T14,1;86,1;54,3;90
1_nTasks,15,3,4,11262.658000,638.200000,2,100,0.001600,0.00000070000000000000,T1;T14,2;88,1;54,3;90
1_nTasks,15,3,5,11260.963000,638.700000,2,100,0.000300,0.00000001000000000000,T1;T14,1;54,1;54,3;90
1_nTasks,15,3,6,11237.167000,637.900000,2,100,0.000100,0.00000072000000000000,T1;T14,2;89,1;54,3;90
1_nTasks,15,3,7,11261.851000,639.500000,2,100,0.000400,0.00000036000000000000,T1;T14,1;89,1;54,3;90
1_nTasks,15,3,8,12397.813000,634.300000,2,100,0.000200,0.00000064000000000000,T1;T14,2;85,1;54,3;90
1_nTasks,15,3,9,12216.159000,637.300000,2,100,0.000300,0.00000036000000000000,T1;T14,1;89,1;54,3;90
1_nTasks,15,3,10,12225.318000,637.800000,2,100,0.000100,0.00000023000000000000,T1;T14,1;76,1;54,3;90
1_nTasks,15,4,1,11635.613000,638.400000,2,100,0.000400,0.00000310000000000000,T7;T11,10;197,6;136,10;228
1_nTasks,15,4,2,11608.676000,639.000000,2,100,0.002800,0.00000335000000000000,T7;T11,10;202,6;136,10;228
1_nTasks,15,4,3,11321.130000,637.600000,2,100,0.000700,0.00000310000000000000,T7;T11,10;197,6;136,10;228
1_nTasks,15,4,4,11243.040000,619.200000,2,100,0.000300,0.00000290000000000000,T7;T11,10;193,6;136,10;228
1_nTasks,15,4,5,11193.033000,639.600000,2,100,0.000200,0.00000260000000000000,T7;T11,10;187,6;136,10;228
1_nTasks,15,4,6,11208.655000,642.400000,2,100,0.001600,0.00000325000000000000,T7;T11,10;200,6;136,10;228
1_nTasks,15,4,7,10992.622000,635.300000,2,100,0.000400,0.00000180000000000000,T7;T11,9;180,6;136,10;228
1_nTasks,15,4,8,14011.805000,634.800000,2,100,0.000300,0.00000260000000000000,T7;T11,10;187,6;136,10;228
1_nTasks,15,4,9,10945.650000,631.700000,2,100,0.000100,0.00000120000000000000,T7;T11,8;175,6;136,10;228
1_nTasks,15,4,10,10881.456000,638.500000,2,100,0.001300,0.00000310000000000000,T7;T11,10;197,6;136,10;228
