WorkType,Variable,SetIndex,Run,Total(s),InitHeap(MB),UsedHeap(MB),CommitHeap(MB),MaxNonHeap(MB),Counts,Positive,Negative
1_nTasks,10,7,5,9697.411000, 1024.000000,653.100000,1232.000000,19.500000, 20200,19659,541
1_nTasks,10,7,6,9240.475000, 1024.000000,873.900000,1480.000000,20.100000, 20200,19644,556
1_nTasks,10,7,7,9488.252000, 1024.000000,887.100000,1548.000000,19.500000, 20200,19555,645
1_nTasks,10,7,8,9430.702000, 1024.000000,619.400000,1232.000000,19.300000, 20200,19706,494
1_nTasks,10,7,9,9581.064000, 1024.000000,721.700000,1256.000000,19.500000, 20200,19542,658
1_nTasks,10,7,10,9599.216000, 1024.000000,801.700000,1340.000000,20.000000, 20200,19662,538
1_nTasks,10,8,1,10085.725000, 1024.000000,900.600000,1552.000000,19.400000, 20200,19901,299
1_nTasks,10,8,2,10111.030000, 1024.000000,612.000000,1232.000000,19.200000, 20200,19388,812
1_nTasks,10,8,3,9791.590000, 1024.000000,714.200000,1232.000000,19.500000, 20200,19686,514
1_nTasks,10,8,4,9997.297000, 1024.000000,678.500000,1232.000000,19.400000, 20200,19178,1022
1_nTasks,10,8,5,9262.352000, 1024.000000,727.200000,1232.000000,19.500000, 20200,19352,848
1_nTasks,10,8,6,9657.399000, 1024.000000,614.900000,1232.000000,19.500000, 20200,19770,430
1_nTasks,10,8,7,9692.788000, 1024.000000,738.100000,1232.000000,19.600000, 20200,19613,587
1_nTasks,10,8,8,9696.270000, 1024.000000,658.400000,1232.000000,19.700000, 20200,19530,670
1_nTasks,10,8,9,9699.827000, 1024.000000,595.300000,1232.000000,19.800000, 20200,18438,1762
1_nTasks,10,8,10,9885.393000, 1024.000000,725.000000,1232.000000,19.200000, 20200,19647,553
1_nTasks,10,9,1,10016.056000, 1024.000000,688.900000,1232.000000,19.300000, 20200,3119,17081
1_nTasks,10,9,2,10028.532000, 1024.000000,732.900000,1232.000000,19.400000, 20200,3183,17017
1_nTasks,10,9,3,9326.427000, 1024.000000,708.200000,1232.000000,19.200000, 20200,3315,16885
1_nTasks,10,9,4,9408.263000, 1024.000000,867.700000,1480.000000,19.300000, 20200,3001,17199
1_nTasks,10,9,5,9607.419000, 1024.000000,701.300000,1232.000000,19.400000, 20200,3129,17071
1_nTasks,10,9,6,9009.297000, 1024.000000,739.500000,1232.000000,19.400000, 20200,3280,16920
1_nTasks,10,9,7,9281.378000, 1024.000000,677.300000,1232.000000,19.300000, 20200,2900,17300
1_nTasks,10,9,8,9320.887000, 1024.000000,638.100000,1288.000000,19.400000, 20200,2924,17276
1_nTasks,10,9,9,9493.894000, 1024.000000,911.900000,1548.000000,19.200000, 20200,2701,17499
1_nTasks,10,9,10,9507.581000, 1024.000000,620.800000,1024.000000,19.200000, 20200,2955,17245
1_nTasks,15,0,1,10798.180000, 1024.000000,840.200000,1520.000000,19.700000, 20200,19916,284
1_nTasks,15,0,2,10890.745000, 1024.000000,862.200000,1480.000000,18.600000, 20200,19911,289
1_nTasks,15,0,3,12652.486000, 1024.000000,877.700000,1520.000000,19.600000, 20200,19888,312
1_nTasks,15,0,4,12540.572000, 1024.000000,792.300000,1332.000000,19.600000, 20200,19880,320
1_nTasks,15,0,5,12390.081000, 1024.000000,976.000000,1680.000000,19.600000, 20200,19896,304
1_nTasks,15,0,6,10298.075000, 1024.000000,877.300000,1496.000000,19.500000, 20200,19882,318
1_nTasks,15,0,7,10603.042000, 1024.000000,880.500000,1480.000000,19.400000, 20200,19812,388
1_nTasks,15,0,8,10489.050000, 1024.000000,866.100000,1536.000000,19.600000, 20200,19776,424
1_nTasks,15,0,9,10661.478000, 1024.000000,959.500000,1636.000000,19.400000, 20200,19897,303
1_nTasks,15,0,10,10676.565000, 1024.000000,843.500000,1480.000000,19.300000, 20200,19789,411
1_nTasks,15,1,1,10255.827000, 1024.000000,733.800000,1232.000000,19.300000, 20200,9955,10245
1_nTasks,15,1,2,10288.306000, 1024.000000,721.300000,1480.000000,19.400000, 20200,9768,10432
1_nTasks,15,1,3,10110.945000, 1024.000000,739.300000,1232.000000,19.600000, 20200,9629,10571
1_nTasks,15,1,4,10198.715000, 1024.000000,905.600000,1548.000000,19.400000, 20200,9731,10469
1_nTasks,15,1,5,10177.048000, 1024.000000,703.100000,1232.000000,19.600000, 20200,9743,10457
1_nTasks,15,1,6,10178.474000, 1024.000000,716.600000,1480.000000,19.000000, 20200,9609,10591
1_nTasks,15,1,7,10444.852000, 1024.000000,734.800000,1232.000000,18.300000, 20200,9744,10456
1_nTasks,15,1,8,10415.783000, 1024.000000,871.600000,1684.000000,19.300000, 20200,9540,10660
1_nTasks,15,1,9,10536.036000, 1024.000000,833.700000,1480.000000,19.400000, 20200,9663,10537
1_nTasks,15,1,10,10361.937000, 1024.000000,765.900000,1480.000000,19.500000, 20200,9577,10623
1_nTasks,15,2,1,11056.008000, 1024.000000,901.200000,1480.000000,19.400000, 20200,19677,523
1_nTasks,15,2,2,11132.278000, 1024.000000,934.500000,1556.000000,19.400000, 20200,19386,814
1_nTasks,15,2,3,10785.057000, 1024.000000,958.200000,1796.000000,19.300000, 20200,19379,821
1_nTasks,15,2,4,10963.262000, 1024.000000,1024.900000,1848.000000,19.500000, 20200,19686,514
1_nTasks,15,2,5,10838.114000, 1024.000000,1074.800000,1860.000000,19.300000, 20200,19082,1118
1_nTasks,15,2,6,10792.173000, 1024.000000,1053.200000,1796.000000,19.600000, 20200,19595,605
1_nTasks,15,2,7,10808.331000, 1024.000000,812.700000,1492.000000,19.300000, 20200,19753,447
1_nTasks,15,2,8,10912.634000, 1024.000000,872.600000,1776.000000,19.400000, 20200,19576,624
1_nTasks,15,2,9,10994.894000, 1024.000000,895.800000,1480.000000,18.800000, 20200,19817,383
1_nTasks,15,2,10,11043.852000, 1024.000000,993.100000,1776.000000,19.800000, 20200,19667,533
1_nTasks,15,3,1,10294.479000, 1024.000000,867.500000,1480.000000,19.400000, 20200,20168,32
1_nTasks,15,3,2,10328.710000, 1024.000000,744.100000,1232.000000,19.300000, 20200,20181,19
1_nTasks,15,3,3,9944.869000, 1024.000000,730.300000,1232.000000,18.700000, 20200,20174,26
1_nTasks,15,3,4,10025.445000, 1024.000000,739.200000,1232.000000,18.800000, 20200,20161,39
1_nTasks,15,3,5,10076.568000, 1024.000000,733.600000,1232.000000,19.600000, 20200,20168,32
1_nTasks,15,3,6,10087.902000, 1024.000000,726.700000,1232.000000,19.400000, 20200,20196,4
1_nTasks,15,3,7,10347.726000, 1024.000000,618.900000,1024.000000,19.500000, 20200,20145,55
1_nTasks,15,3,8,11013.695000, 1024.000000,875.900000,1500.000000,19.300000, 20200,20186,14
1_nTasks,15,3,9,11124.340000, 1024.000000,908.300000,1524.000000,19.900000, 20200,20166,34
1_nTasks,15,3,10,11008.936000, 1024.000000,904.300000,1568.000000,19.300000, 20200,20149,51
1_nTasks,15,4,1,10840.525000, 1024.000000,736.500000,1232.000000,19.300000, 20200,20045,155
1_nTasks,15,4,2,10549.547000, 1024.000000,732.500000,1480.000000,19.300000, 20200,19972,228
1_nTasks,15,4,3,10041.830000, 1024.000000,707.800000,1232.000000,19.300000, 20200,19966,234
1_nTasks,15,4,4,10220.586000, 1024.000000,922.800000,1668.000000,19.700000, 20200,19980,220
1_nTasks,15,4,5,10266.727000, 1024.000000,711.700000,1232.000000,19.400000, 20200,19923,277
1_nTasks,15,4,6,10256.722000, 1024.000000,719.300000,1232.000000,19.700000, 20200,20046,154
1_nTasks,15,4,7,10461.943000, 1024.000000,741.300000,1232.000000,19.000000, 20200,19961,239
1_nTasks,15,4,8,9653.301000, 1024.000000,884.900000,1480.000000,19.300000, 20200,19822,378
1_nTasks,15,4,9,10309.092000, 1024.000000,886.700000,1480.000000,19.600000, 20200,19997,203
1_nTasks,15,4,10,10501.889000, 1024.000000,882.100000,1480.000000,19.300000, 20200,19945,255
1_nTasks,15,5,1,10081.398000, 1024.000000,692.600000,1232.000000,19.900000, 20200,19214,986
1_nTasks,15,5,2,10097.445000, 1024.000000,680.000000,1232.000000,19.600000, 20200,19158,1042
1_nTasks,15,5,3,9874.621000, 1024.000000,712.100000,1232.000000,19.400000, 20200,19116,1084
1_nTasks,15,5,4,9933.820000, 1024.000000,684.200000,1232.000000,19.300000, 20200,18981,1219
1_nTasks,15,5,5,9893.421000, 1024.000000,740.500000,1232.000000,18.800000, 20200,19342,858
1_nTasks,15,5,6,9952.676000, 1024.000000,709.800000,1232.000000,19.200000, 20200,18280,1920
1_nTasks,15,5,7,10055.169000, 1024.000000,700.100000,1232.000000,19.300000, 20200,18840,1360
1_nTasks,15,5,8,10090.135000, 1024.000000,870.100000,1504.000000,19.300000, 20200,19076,1124
1_nTasks,15,5,9,10297.213000, 1024.000000,835.800000,1480.000000,19.200000, 20200,19175,1025
1_nTasks,15,5,10,10223.452000, 1024.000000,908.600000,1528.000000,19.400000, 20200,18503,1697
1_nTasks,15,6,1,10270.924000, 1024.000000,732.100000,1480.000000,19.200000, 20200,9943,10257
1_nTasks,15,6,2,10225.578000, 1024.000000,728.100000,1232.000000,19.400000, 20200,10615,9585
1_nTasks,15,6,3,9814.383000, 1024.000000,723.000000,1232.000000,19.500000, 20200,9778,10422
1_nTasks,15,6,4,9807.687000, 1024.000000,746.600000,1256.000000,19.700000, 20200,8923,11277
1_nTasks,15,6,5,9845.026000, 1024.000000,739.100000,1232.000000,19.300000, 20200,9666,10534
1_nTasks,15,6,6,9794.344000, 1024.000000,734.300000,1232.000000,19.400000, 20200,8945,11255
1_nTasks,15,6,7,9877.774000, 1024.000000,712.900000,1296.000000,19.600000, 20200,9776,10424
1_nTasks,15,6,8,9951.489000, 1024.000000,738.900000,1480.000000,19.500000, 20200,9372,10828
1_nTasks,15,6,9,10165.105000, 1024.000000,882.600000,1480.000000,19.300000, 20200,9439,10761
1_nTasks,15,6,10,10118.771000, 1024.000000,739.900000,1232.000000,19.000000, 20200,9657,10543
1_nTasks,15,7,1,10691.281000, 1024.000000,890.800000,1528.000000,19.200000, 20200,18655,1545
1_nTasks,15,7,2,10808.658000, 1024.000000,1006.200000,1732.000000,19.300000, 20200,18987,1213
1_nTasks,15,7,3,10689.044000, 1024.000000,952.700000,1680.000000,19.400000, 20200,18834,1366
1_nTasks,15,7,4,10708.557000, 1024.000000,878.100000,1480.000000,19.600000, 20200,18456,1744
1_nTasks,15,7,5,10684.180000, 1024.000000,747.000000,1480.000000,19.900000, 20200,18733,1467
1_nTasks,15,7,6,10755.813000, 1024.000000,869.400000,1480.000000,19.500000, 20200,18988,1212
1_nTasks,15,7,7,11023.171000, 1024.000000,833.000000,1480.000000,19.300000, 20200,18949,1251
1_nTasks,15,7,8,10683.218000, 1024.000000,926.800000,1552.000000,19.400000, 20200,18477,1723
1_nTasks,15,7,9,10869.577000, 1024.000000,888.300000,1480.000000,19.200000, 20200,18307,1893
1_nTasks,15,7,10,10580.554000, 1024.000000,967.800000,1648.000000,19.500000, 20200,18610,1590
1_nTasks,15,8,1,10565.675000, 1024.000000,746.600000,1592.000000,19.000000, 20200,18458,1742
1_nTasks,15,8,2,10747.513000, 1024.000000,1058.300000,1788.000000,19.600000, 20200,18626,1574
